l,Dl_Planck,Dl_H73_Tension,Dl_TRXT_Fixed
1366,228303749.52983913,236923144.8432717,228303642.87859622
1367,229053103.34058997,237614893.15934446,229063111.0963773
1368,229803620.45441517,238301173.03121126,229823093.7282302
1369,230553153.78245175,238979882.41023868,230583176.6107331
1370,231306205.41423026,239655568.19975346,231342937.40948462
1371,232056184.4495342,240321684.08633026,232102104.44566935
1372,232807596.7828415,240982780.32392305,232860165.07200974
1373,233558283.50003657,241636742.1305309,233616863.80071622
1374,234308306.49452248,242283675.30452877,234372094.07330635
1375,235055491.00626877,242921448.76420176,235125357.1495345
1376,235802129.5888119,243552398.51550072,235875823.4620767
1377,236548284.59085646,244176630.13466966,236625218.03734347
1378,237291771.86348835,244792002.47675845,237372081.97082686
1379,238032644.15618733,245398611.0732097,238116543.84171382
1380,238768701.1346124,245994298.15149468,238858255.98028412
1381,239504498.59137553,246583661.84801653,239595638.21556586
1382,240235579.80925763,247162287.5737359,240328811.08399823
1383,240961987.7524368,247730260.20809013,241058267.1795787
1384,241683765.3203263,248287664.35580656,241785279.03869683
1385,242403224.80097672,248836853.80356345,242506554.14250085
1386,243118145.97693098,249375649.62939087,243224105.70211595
1387,243826295.39593765,249901859.47721642,243937595.7927187
1388,244529984.9542279,250417836.14426306,244643579.80634075
1389,245226974.29988942,250921379.9888325,245346035.9958814
1390,245919581.50925866,251414849.61139676,246042908.87529054
1391,246605559.23461556,251896038.0072817,246732391.03725642
1392,247284939.18915388,252365017.05691633,247418701.1719935
1393,247960048.57018045,252824153.9546012,248095473.59946975
1394,248626330.2949188,253268931.45017081,248767167.6269682
1395,249283805.2949309,253699410.14956278,249431675.36785862
1396,249934799.79963765,254117955.80477488,250089155.9866165
1397,250579343.91277868,254524637.8970483,250737535.65875268
1398,251212842.8206617,254914900.85212603,251378995.0121711
1399,251839937.11946172,255293424.37484643,252013732.42204013
1400,252456017.89287272,255655638.53437096,252639774.25795642
1401,253065738.09008393,256006250.0343197,253257046.5965393
1402,253664474.82795542,256340749.34597373,253863633.37274727
1403,254254564.7038939,256661601.6745367,254463328.80691248
1404,254836024.8799615,256968953.21098432,255052909.1954497
1405,255406536.46887392,257260614.52792358,255631826.6483643
1406,255966105.4715039,257536721.5272234,256200164.38103944
1407,256514737.2390917,257797409.91261426,256759844.61513963
1408,257054781.8947132,258045160.62180427,257309582.4468911
1409,257581555.83662534,258275421.3407257,257847224.66273662
1410,258099756.53110743,258493021.3075284,258374076.46627548
1411,258604685.54808414,258693394.35959858,258889059.0813911
1412,259098693.3376628,258879023.7217337,259393331.82111576
1413,259579418.61083737,259047681.39871857,259885960.73324913
1414,260049216.79807708,259201856.6460167,260366362.14508536
1415,260505718.16982278,259339314.10259423,260836167.46201003
1416,260951283.02321297,259462548.99019316,261293135.61740005
1417,261383533.054911,259569318.49891976,261735787.77916682
1418,261804833.31404126,259662123.7531497,262165638.1893076
1419,262212796.78976765,259738714.41227844,262583601.70333308
1420,262607407.583364,259799211.85615945,262986978.76433834
1421,262988648.7085428,259843736.99899158,263376665.57161853
1422,263356502.0609302,259872410.2725365,263752030.36922106
1423,263713344.0600615,259887747.28203505,264113676.85378176
1424,264054366.29782712,259885079.46874577,264461319.1995936
1425,264381939.44348463,259866918.02921528,264794128.11746284
1426,264696040.62252232,259833381.3085591,265113366.932785
1427,264994236.54126665,259782177.93963987,265418048.13119444
1428,265278904.17033464,259715827.54123613,265707106.88828442
1429,265550016.75283942,259634446.7411057,265980676.73117405
1430,265807546.18713117,259538151.57371712,266239912.33660564
1431,266049040.32670915,259424634.79528055,266484305.44793445
1432,266276884.20905086,259296427.12781623,266713158.62356934
1433,266488616.09499213,259151213.31388927,266927589.093975
1434,266686624.92325824,258991529.58660328,267125716.5065533
1435,266868439.26405925,258815052.63876075,267308315.22711453
1436,267036451.88266268,258624324.20209688,267474787.1074495
1437,267188181.5695403,258417012.89317617,267626061.65063483
1438,267323578.42439654,258193219.51325527,267761383.83339986
1439,267445040.82889196,257955494.03691697,267881839.08679238
1440,267552525.98805538,257703946.16946474,267986514.5808577
1441,267643532.90375698,257436228.33644262,268076652.46792954
1442,267718005.41581908,257152438.74085113,268150608.7154675
1443,267775885.76417467,256852674.9414651,268208502.55927607
1444,267819581.4561482,256539500.73631853,268250452.78198078
1445,267846571.45935202,256210552.3718471,268277035.5363437
1446,267856793.1662354,255865925.52371687,268289468.84703723
1447,267852659.47149768,255508192.3905466,268284299.5567095
1448,267831634.2110655,255134977.1492154,268263656.93644634
1449,267793649.87375212,254746373.6828712,268227353.77426806
1450,267741124.7177155,254344962.71374607,268173664.26237327
1451,267673998.09248948,253930833.34098762,268104841.90181917
1452,267589712.86531132,253501523.9294798,268021001.3190947
1453,267488194.0955591,253057041.93566337,267922109.13090855
1454,267371866.3453248,252599894.99622342,267806111.8146013
1455,267240661.70116907,252130098.9653821,267675361.15009516
1456,267094510.62159237,251647668.77788138,267527638.38599473
1457,266933341.94132414,251152618.46875417,267365392.22452408
1458,266754567.94976577,250642446.2672124,267186169.77118784
1459,266560622.2770386,250119672.49809772,266992689.0754484
1460,266351428.9127943,249584308.6160459,266782678.2844268
1461,266126910.24737865,249036365.2619507,266556186.4147605
1462,265886987.07948872,248475852.2858615,266315630.61259484
1463,265631578.62433225,247902778.77031595,266061248.6182779
1464,265360602.52223313,247317153.05404806,265790902.74552286
1465,265073974.8476279,246718982.75600937,265504479.5235707
1466,264774152.70988896,246110817.3911329,265202074.9209293
1467,264458513.42598292,245490127.55784315,264885917.85362884
1468,264129517.96824703,244859468.40058932,264554348.12033227
1469,263784533.66628075,244216302.32639235,264207088.07816735
1470,263423468.92438594,243560633.7368343,263846252.48762718
1471,263051350.558144,242897586.37907156,263470414.1989854
1472,262662977.97390747,242222057.5396452,263079171.3834978
1473,262258255.1020926,241534049.99196765,262674523.7697783
1474,261842225.2133612,240838706.82656997,262257138.74411818
1475,261409662.43375158,240130902.98016196,261825230.6567333
1476,260965621.08476385,239415794.5895068,261378151.7146916
1477,260507439.35009804,238690822.67180228,260917663.79265824
1478,260035024.40203494,237955998.26455188,260444524.84885657
1479,259550869.87376326,237213919.9112261,259958749.83393058
1480,259052299.25979096,236462017.07484418,259460352.8223857
1481,258541810.41523853,235702894.65027073,258947746.13927183
