v_kms,beta,sigmaT_over_m_num_cm2g,sigmaT_over_m_fit_cm2g,ratio_num_fit,lmax,h_GeVinv,Rmatch_GeVinv,delta_std_mean_lowL,delta_std_max_lowL,match_r_pts_GeVinv
14.785741108131225,24666.439251302687,63.61270277528228,9.332892808530465,6.81596843340351,25,0.25,1000.0,0.0001962033827280324,0.0049661527321902665,"900.0,950.0,1000.0"
16.478983046833196,19857.832464364645,63.15803566437608,8.968844567630308,7.041936694088935,25,0.25,1000.0,0.00021937025302196033,0.005517574757396329,"900.0,950.0,1000.0"
18.36613263223422,15986.641045563525,62.6013477885592,8.611959830669111,7.26911748538606,25,0.25,1000.0,0.00024543068888447,0.006125374453108907,"900.0,950.0,1000.0"
20.46939589088546,12870.120260019708,61.922023494947986,8.262238140826216,7.4945822717179436,25,0.25,1000.0,0.00027478937785945705,0.00679331645710548,"900.0,950.0,1000.0"
22.813521851760054,10361.150602886437,61.09642087191305,7.919678999715868,7.71450722612684,25,0.25,1000.0,0.00030791264666020425,0.007524496346974231,"900.0,950.0,1000.0"
25.42609376725576,8341.292827634354,60.097997138453884,7.584281862554688,7.924019469156502,25,0.25,1000.0,0.00034533303689769076,0.008320792579110723,"900.0,950.0,1000.0"
28.337853684410668,6715.196864039541,58.89776663595918,7.256046132639644,8.117060663523239,25,0.25,1000.0,0.0003876483131846611,0.009182037639147302,"900.0,950.0,1000.0"
31.583064185550622,5406.100691419484,57.46522134934759,6.934971155019091,8.286295654994602,25,0.25,1000.0,0.0004355090398155599,0.010104764321303021,"900.0,950.0,1000.0"
35.19991155495852,4352.206685447086,55.769831934654896,6.62105620921616,8.423102020645322,25,0.25,1000.0,0.000489584716097398,0.011080300603760505,"900.0,950.0,1000.0"
39.23095511561431,3503.764379178957,53.783185188144564,6.314300500834805,8.517679065327025,25,0.25,1000.0,0.0005504918454371537,0.012091851071675225,"900.0,950.0,1000.0"
43.723628023336296,2820.721926155997,51.481666314484244,6.014703151843569,8.559302930636665,25,0.25,1000.0,0.000618656750804386,0.013109975411021914,"900.0,950.0,1000.0"
48.73079541115179,2270.8353997712743,48.84933103326704,5.722263189287782,8.536715180230471,25,0.25,1000.0,0.000694068741400225,0.014085483982349902,"900.0,950.0,1000.0"
54.31137645156314,1828.1466758695208,45.88023165336457,5.4369795321260215,8.438551475551357,25,0.25,1000.0,0.0007758505009899991,0.014938095241475893,"900.0,950.0,1000.0"
