E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
1.180000000000000071e+01,3.256300000000000167e-02,4.079218736774556646e+02,4.020505231632018877e+02,1.449765581433467773e-02,-1.449765581433467773e-02
1.200000000000000000e+01,2.824000000000000121e-02,4.218958990956531920e+02,4.143417446858226185e+02,1.806700395756068861e-02,-1.806700395756068861e-02
1.219999999999999929e+01,2.415799999999999892e-02,4.335454411910422436e+02,4.230845918821933651e+02,2.442326069591480714e-02,-2.442326069591480714e-02
1.240000000000000036e+01,2.034299999999999997e-02,4.477845847810592659e+02,4.395783503805811847e+02,1.849577906695696813e-02,-1.849577906695696813e-02
1.259999999999999964e+01,1.682099999999999915e-02,4.603060149487599801e+02,4.491735168356676695e+02,2.448103057635611993e-02,-2.448103057635611993e-02
1.280000000000000071e+01,1.361399999999999937e-02,4.733126430608856481e+02,4.604965872466503356e+02,2.744898079453452974e-02,-2.744898079453452974e-02
1.300000000000000000e+01,1.074100000000000055e-02,4.867664543719167796e+02,4.774300596826572018e+02,1.936616561700436542e-02,-1.936616561700436542e-02
1.319999999999999929e+01,8.222999999999999407e-03,4.995499690254683287e+02,4.903584893824614710e+02,1.857036287535014651e-02,-1.857036287535014651e-02
1.340000000000000036e+01,6.073000000000000273e-03,5.124170321564813548e+02,5.027785489447005602e+02,1.898842625245854288e-02,-1.898842625245854288e-02
1.359999999999999964e+01,4.296000000000000339e-03,5.253659131016960373e+02,5.157456412267187034e+02,1.848077054755778090e-02,-1.848077054755778090e-02
1.380000000000000071e+01,2.892000000000000039e-03,5.375695883256926209e+02,5.255715165956803503e+02,2.257098643721355477e-02,-2.257098643721355477e-02
1.400000000000000000e+01,1.843000000000000020e-03,5.515108687893759907e+02,5.372790110361725056e+02,2.614252394683129477e-02,-2.614252394683129477e-02
1.419999999999999929e+01,1.113000000000000057e-03,5.647074599733906553e+02,5.504995902737944107e+02,2.548023651114306870e-02,-2.548023651114306870e-02
1.440000000000000036e+01,6.400000000000000524e-04,5.771348287063528915e+02,5.642869967954329695e+02,2.251197869862323064e-02,-2.251197869862323064e-02
1.459999999999999964e+01,3.539999999999999853e-04,5.913478365342166398e+02,5.785369431286480904e+02,2.190111988508880100e-02,-2.190111988508880100e-02
1.480000000000000071e+01,1.879999999999999890e-04,6.034892329859615074e+02,5.865924103919343224e+02,2.839607297204869985e-02,-2.839607297204869985e-02
1.500000000000000000e+01,9.600000000000000243e-05,6.169997201214342795e+02,5.953297620017372083e+02,3.574928835640643621e-02,-3.574928835640643621e-02
