E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
9.599999999999999645e+00,8.730300000000000560e-02,1.538074727167016817e+02,1.570020519459278319e+02,-2.055650793001745705e-02,2.055650793001745705e-02
9.800000000000000711e+00,8.235499999999999765e-02,1.605417245792446010e+02,1.648415374628531822e+02,-2.642921984753029627e-02,2.642921984753029627e-02
1.000000000000000000e+01,7.730800000000000172e-02,1.676072032151704434e+02,1.716672679341438084e+02,-2.393380619072005278e-02,2.393380619072005278e-02
1.019999999999999929e+01,7.219399999999999429e-02,1.753312195401094868e+02,1.797013787705655545e+02,-2.461835477221116161e-02,2.461835477221116161e-02
1.040000000000000036e+01,6.704100000000000337e-02,1.822837728383481704e+02,1.864782855319891723e+02,-2.274915544282254259e-02,2.274915544282254259e-02
1.059999999999999964e+01,6.188099999999999851e-02,1.898792481206133402e+02,1.960849170255183935e+02,-3.215671020938171837e-02,3.215671020938171837e-02
1.080000000000000071e+01,5.674699999999999883e-02,1.969734350612625917e+02,2.015803790486425271e+02,-2.311830334715865923e-02,2.311830334715865923e-02
1.100000000000000000e+01,5.167000000000000065e-02,2.037851886863520008e+02,2.097773188682246541e+02,-2.897811127659771779e-02,2.897811127659771779e-02
1.119999999999999929e+01,4.668100000000000027e-02,2.113591473801228062e+02,2.168839697441275973e+02,-2.580227045377974163e-02,2.580227045377974163e-02
1.140000000000000036e+01,4.181399999999999700e-02,2.186519885208237213e+02,2.236713668858599817e+02,-2.269551586495500289e-02,2.269551586495500289e-02
1.159999999999999964e+01,3.709699999999999803e-02,2.260107372403127499e+02,2.334650420700955635e+02,-3.244699792868474542e-02,3.244699792868474542e-02
1.180000000000000071e+01,3.256300000000000167e-02,2.330765540029441354e+02,2.402371806629557511e+02,-3.025742181374102557e-02,3.025742181374102557e-02
1.200000000000000000e+01,2.824000000000000121e-02,2.409279367803800085e+02,2.480894463331607653e+02,-2.928938643114855148e-02,2.928938643114855148e-02
1.219999999999999929e+01,2.415799999999999892e-02,2.474502145249365412e+02,2.562807861269729983e+02,-3.506066368997844823e-02,3.506066368997844823e-02
1.240000000000000036e+01,2.034299999999999997e-02,2.554568890609906475e+02,2.624392572249023488e+02,-2.696435651813960596e-02,2.696435651813960596e-02
1.259999999999999964e+01,1.682099999999999915e-02,2.624769362994964581e+02,2.696453555066241847e+02,-2.694275100859539959e-02,2.694275100859539959e-02
1.280000000000000071e+01,1.361399999999999937e-02,2.697954591403280347e+02,2.796666244506450312e+02,-3.593028747608806306e-02,3.593028747608806306e-02
1.300000000000000000e+01,1.074100000000000055e-02,2.773476425867311832e+02,2.870922858045608450e+02,-3.452853962901891033e-02,3.452853962901891033e-02
1.319999999999999929e+01,8.222999999999999407e-03,2.845250843277402737e+02,2.932379276190536643e+02,-3.016061295428082434e-02,3.016061295428082434e-02
1.340000000000000036e+01,6.073000000000000273e-03,2.917529219690180184e+02,3.018616498096362761e+02,-3.405822000066258126e-02,3.405822000066258126e-02
1.359999999999999964e+01,4.296000000000000339e-03,2.990298596107300568e+02,3.103251248336313211e+02,-3.707285740249033346e-02,3.707285740249033346e-02
1.380000000000000071e+01,2.892000000000000039e-03,3.058919975375906688e+02,3.169108740228089687e+02,-3.538479666161811060e-02,3.538479666161811060e-02
1.400000000000000000e+01,1.843000000000000020e-03,3.137341341319087178e+02,3.241405639534988836e+02,-3.262844521917941665e-02,3.262844521917941665e-02
1.419999999999999929e+01,1.113000000000000057e-03,3.211617476227453380e+02,3.317459347527204159e+02,-3.242169579462371443e-02,3.242169579462371443e-02
1.440000000000000036e+01,6.400000000000000524e-04,3.281611543792574821e+02,3.409663367713874891e+02,-3.827426779345131924e-02,3.827426779345131924e-02
1.459999999999999964e+01,3.539999999999999853e-04,3.361664539639833151e+02,3.511019881207867570e+02,-4.346346563359660548e-02,4.346346563359660548e-02
1.480000000000000071e+01,1.879999999999999890e-04,3.429842714627142186e+02,3.573211531640118892e+02,-4.094465413841241047e-02,4.094465413841241047e-02
1.500000000000000000e+01,9.600000000000000243e-05,3.506030335598838974e+02,3.635706438370858109e+02,-3.631500484438587167e-02,3.631500484438587167e-02
