E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
1.319999999999999929e+01,8.222999999999999407e-03,2.867437941065887230e+02,2.948721703469477688e+02,-2.795100800919778430e-02,2.795100800919778430e-02
1.340000000000000036e+01,6.073000000000000273e-03,2.939708857937162634e+02,3.018595193786104574e+02,-2.647945964628184781e-02,2.647945964628184781e-02
1.359999999999999964e+01,4.296000000000000339e-03,3.012474868750364294e+02,3.094087191168014783e+02,-2.672938442837714812e-02,2.672938442837714812e-02
1.380000000000000071e+01,2.892000000000000039e-03,3.081062518177078005e+02,3.231946989138331787e+02,-4.780112267735740772e-02,4.780112267735740772e-02
1.400000000000000000e+01,1.843000000000000020e-03,3.159524006223917922e+02,3.299943921479039091e+02,-4.347723893879777007e-02,4.347723893879777007e-02
1.419999999999999929e+01,1.113000000000000057e-03,3.233810361348295146e+02,3.326258701972154199e+02,-2.818517297043983405e-02,2.818517297043983405e-02
1.440000000000000036e+01,6.400000000000000524e-04,3.303786334910693085e+02,3.441147693893948372e+02,-4.073023053943758409e-02,4.073023053943758409e-02
1.459999999999999964e+01,3.539999999999999853e-04,3.383892921262882396e+02,3.534523738337095438e+02,-4.354488157783850677e-02,4.354488157783850677e-02
1.480000000000000071e+01,1.879999999999999890e-04,3.452050416860098494e+02,3.558514733005997641e+02,-3.037253455891003248e-02,3.037253455891003248e-02
1.500000000000000000e+01,9.600000000000000243e-05,3.528269446801072604e+02,3.644808351123627972e+02,-3.249341708137395979e-02,3.249341708137395979e-02
