E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
8.199999999999999289e+00,1.167959999999999970e-01,1.034902714070971115e+02,1.048762411932568597e+02,-1.330319127448307236e-02,1.330319127448307236e-02
8.400000000000000355e+00,1.133170000000000011e-01,1.105653788690113117e+02,1.124506770191070757e+02,-1.690728627217379446e-02,1.690728627217379446e-02
8.599999999999999645e+00,1.095519999999999966e-01,1.177603367877558611e+02,1.210508715289273027e+02,-2.755762398562067172e-02,2.755762398562067172e-02
8.800000000000000711e+00,1.055249999999999938e-01,1.243204975105415429e+02,1.272271566488668384e+02,-2.311020667665074010e-02,2.311020667665074010e-02
9.000000000000000000e+00,1.012610000000000038e-01,1.319886430732052531e+02,1.339654000102073041e+02,-1.486540241377018977e-02,1.486540241377018977e-02
9.199999999999999289e+00,9.678399999999999503e-02,1.389959705548977524e+02,1.407496220843340780e+02,-1.253747387325516299e-02,1.253747387325516299e-02
9.400000000000000355e+00,9.212199999999999556e-02,1.458189721352571553e+02,1.493569211786207234e+02,-2.397180205770705827e-02,2.397180205770705827e-02
9.599999999999999645e+00,8.730300000000000560e-02,1.538074727167016817e+02,1.574459015748498985e+02,-2.337920908603608253e-02,2.337920908603608253e-02
9.800000000000000711e+00,8.235499999999999765e-02,1.605417245792446010e+02,1.636360488685509722e+02,-1.909029268969712409e-02,1.909029268969712409e-02
1.000000000000000000e+01,7.730800000000000172e-02,1.676072032151704434e+02,1.715014777302391451e+02,-2.296770760460485269e-02,2.296770760460485269e-02
1.019999999999999929e+01,7.219399999999999429e-02,1.753312195401094868e+02,1.783594359029514465e+02,-1.712353049898124313e-02,1.712353049898124313e-02
1.040000000000000036e+01,6.704100000000000337e-02,1.822837728383481704e+02,1.880810520062785827e+02,-3.130577624569207823e-02,3.130577624569207823e-02
1.059999999999999964e+01,6.188099999999999851e-02,1.898792481206133402e+02,1.938664256536477524e+02,-2.078031261600554042e-02,2.078031261600554042e-02
1.080000000000000071e+01,5.674699999999999883e-02,1.969734350612625917e+02,2.033376991457761562e+02,-3.179658790715524097e-02,3.179658790715524097e-02
1.100000000000000000e+01,5.167000000000000065e-02,2.037851886863520008e+02,2.094933932194106205e+02,-2.762400367682362259e-02,2.762400367682362259e-02
1.119999999999999929e+01,4.668100000000000027e-02,2.113591473801228062e+02,2.165859896814613705e+02,-2.442762797693100521e-02,2.442762797693100521e-02
1.140000000000000036e+01,4.181399999999999700e-02,2.186519885208237213e+02,2.245923557833517918e+02,-2.680402960066425797e-02,2.680402960066425797e-02
1.159999999999999964e+01,3.709699999999999803e-02,2.260107372403127499e+02,2.319269499171328448e+02,-2.583850529334580023e-02,2.583850529334580023e-02
1.180000000000000071e+01,3.256300000000000167e-02,2.330765540029441354e+02,2.403464759960524191e+02,-3.071216029825880184e-02,3.071216029825880184e-02
1.200000000000000000e+01,2.824000000000000121e-02,2.409279367803800085e+02,2.504295250215617159e+02,-3.867485071392543633e-02,3.867485071392543633e-02
1.219999999999999929e+01,2.415799999999999892e-02,2.474502145249365412e+02,2.538171345644206269e+02,-2.540329048381367166e-02,2.540329048381367166e-02
1.240000000000000036e+01,2.034299999999999997e-02,2.554568890609906475e+02,2.666521724993185103e+02,-4.288484633793198525e-02,4.288484633793198525e-02
1.259999999999999964e+01,1.682099999999999915e-02,2.624769362994964581e+02,2.703001346684799273e+02,-2.936762407875355765e-02,2.936762407875355765e-02
1.280000000000000071e+01,1.361399999999999937e-02,2.697954591403280347e+02,2.761766116611168513e+02,-2.337538076415438676e-02,2.337538076415438676e-02
1.300000000000000000e+01,1.074100000000000055e-02,2.773476425867311832e+02,2.844426181874248414e+02,-2.525844998066242159e-02,2.525844998066242159e-02
1.319999999999999929e+01,8.222999999999999407e-03,2.845250843277402737e+02,2.930917457982210976e+02,-2.966209093530978308e-02,2.966209093530978308e-02
1.340000000000000036e+01,6.073000000000000273e-03,2.917529219690180184e+02,3.040058002895731306e+02,-4.113369343247888499e-02,4.113369343247888499e-02
1.359999999999999964e+01,4.296000000000000339e-03,2.990298596107300568e+02,3.091519536311330967e+02,-3.328640811025916635e-02,3.328640811025916635e-02
1.380000000000000071e+01,2.892000000000000039e-03,3.058919975375906688e+02,3.170053782461143328e+02,-3.568286250858335867e-02,3.568286250858335867e-02
1.400000000000000000e+01,1.843000000000000020e-03,3.137341341319087178e+02,3.292365951409952345e+02,-4.822135846406972598e-02,4.822135846406972598e-02
1.419999999999999929e+01,1.113000000000000057e-03,3.211617476227453380e+02,3.344748056710606079e+02,-4.061109156111794571e-02,4.061109156111794571e-02
1.440000000000000036e+01,6.400000000000000524e-04,3.281611543792574821e+02,3.385133623709667745e+02,-3.105625828379410605e-02,3.105625828379410605e-02
1.459999999999999964e+01,3.539999999999999853e-04,3.361664539639833151e+02,3.473045017243011898e+02,-3.259260007355070654e-02,3.259260007355070654e-02
1.480000000000000071e+01,1.879999999999999890e-04,3.429842714627142186e+02,3.541875235944282281e+02,-3.213914335359982499e-02,3.213914335359982499e-02
1.500000000000000000e+01,9.600000000000000243e-05,3.506030335598838974e+02,3.620774816645113674e+02,-3.220081890695331711e-02,3.220081890695331711e-02
