E_MeV,lambda,rate_day_E,rate_night_E,ADN_SK(D-N)/avg,ADN_alt(N-D)/avg
1.040000000000000036e+01,6.704100000000000337e-02,1.876153070552348083e+02,1.912380215634231888e+02,-1.912462810553734044e-02,1.912462810553734044e-02
1.059999999999999964e+01,6.188099999999999851e-02,1.952417409369203369e+02,1.993749718797936623e+02,-2.094807852090679531e-02,2.094807852090679531e-02
1.080000000000000071e+01,5.674699999999999883e-02,2.023483787847406745e+02,2.078004767433220366e+02,-2.658594744369986371e-02,2.658594744369986371e-02
1.100000000000000000e+01,5.167000000000000065e-02,2.091611306582315990e+02,2.141092423817208612e+02,-2.338038303012628105e-02,2.338038303012628105e-02
1.119999999999999929e+01,4.668100000000000027e-02,2.167529966290206005e+02,2.230717084653765880e+02,-2.873286453974811111e-02,2.873286453974811111e-02
1.140000000000000036e+01,4.181399999999999700e-02,2.240528199286336246e+02,2.305327690946675432e+02,-2.850925908124979716e-02,2.850925908124979716e-02
1.159999999999999964e+01,3.709699999999999803e-02,2.314172312436706420e+02,2.367298163212693964e+02,-2.269622378366834697e-02,2.269622378366834697e-02
1.180000000000000071e+01,3.256300000000000167e-02,2.384790657737513015e+02,2.448783237842999370e+02,-2.647837045131213110e-02,2.647837045131213110e-02
1.200000000000000000e+01,2.824000000000000121e-02,2.463426584889173512e+02,2.531998266976367518e+02,-2.745379386963889973e-02,2.745379386963889973e-02
1.219999999999999929e+01,2.415799999999999892e-02,2.528457102844162137e+02,2.592653657395678692e+02,-2.507134001081827435e-02,2.507134001081827435e-02
1.240000000000000036e+01,2.034299999999999997e-02,2.608637394389304518e+02,2.688538680543459236e+02,-3.016750246693240128e-02,3.016750246693240128e-02
1.259999999999999964e+01,1.682099999999999915e-02,2.678730321378649251e+02,2.782049830077916681e+02,-3.784056703755370871e-02,3.784056703755370871e-02
1.280000000000000071e+01,1.361399999999999937e-02,2.751850300632052608e+02,2.834494871490359174e+02,-2.958806457958541511e-02,2.958806457958541511e-02
1.300000000000000000e+01,1.074100000000000055e-02,2.827353627794451540e+02,2.916379075673983721e+02,-3.099916116422788206e-02,3.099916116422788206e-02
1.319999999999999929e+01,8.222999999999999407e-03,2.899026179218818697e+02,2.987680504275919589e+02,-3.012017748588412258e-02,3.012017748588412258e-02
1.340000000000000036e+01,6.073000000000000273e-03,2.971207215025896176e+02,3.046186273001279687e+02,-2.492077612161130648e-02,2.492077612161130648e-02
1.359999999999999964e+01,4.296000000000000339e-03,3.043884429054975271e+02,3.124426596469605215e+02,-2.611482043669491326e-02,2.611482043669491326e-02
1.380000000000000071e+01,2.892000000000000039e-03,3.112335794885067344e+02,3.217276422123129578e+02,-3.315862761894891597e-02,3.315862761894891597e-02
1.400000000000000000e+01,1.843000000000000020e-03,3.190760786537817353e+02,3.301972969511774636e+02,-3.425742904376312403e-02,3.425742904376312403e-02
1.419999999999999929e+01,1.113000000000000057e-03,3.264963964609865457e+02,3.380492008128808834e+02,-3.476903435757255911e-02,3.476903435757255911e-02
1.440000000000000036e+01,6.400000000000000524e-04,3.334812819421513836e+02,3.486931414528048094e+02,-4.459815258082833883e-02,4.459815258082833883e-02
1.459999999999999964e+01,3.539999999999999853e-04,3.414888310514219256e+02,3.564782123513754186e+02,-4.295154460839810395e-02,4.295154460839810395e-02
1.480000000000000071e+01,1.879999999999999890e-04,3.482907006932640570e+02,3.596869468636504621e+02,-3.219380219054234632e-02,3.219380219054234632e-02
1.500000000000000000e+01,9.600000000000000243e-05,3.559055692243298950e+02,3.677762362846810902e+02,-3.280631617372722908e-02,3.280631617372722908e-02
