# E_MeV,P1,P2,P3,Pee_day
1.000000000000000000e+01,6.302515200868433198e-02,9.117804564935416689e-01,2.519439149777423156e-02,3.136341787722174979e-01
1.019999999999999929e+01,6.054530673881083208e-02,9.141957221365953901e-01,2.525897112459334418e-02,3.126611639489151329e-01
1.040000000000000036e+01,5.820002918907927342e-02,9.164761779079326764e-01,2.532379290298876484e-02,3.117399227679009122e-01
1.059999999999999964e+01,5.598041665145354201e-02,9.186307253367419490e-01,2.538885801180440840e-02,3.108670252847845483e-01
1.080000000000000071e+01,5.387823032768059711e-02,9.206676020354679357e-01,2.545416763685137695e-02,3.100392973135581154e-01
1.100000000000000000e+01,5.188584341976339859e-02,9.225944336092807285e-01,2.551972297095623024e-02,3.092538004292909037e-01
1.119999999999999929e+01,4.999619302531641690e-02,9.244182817606750868e-01,2.558552521400851362e-02,3.085078134365967784e-01
1.140000000000000036e+01,4.820273566120426151e-02,9.261456887657862902e-01,2.565157557300997565e-02,3.077988152358374085e-01
1.159999999999999964e+01,4.649940621868096230e-02,9.277827185191953596e-01,2.571787526212295644e-02,3.071244690112513442e-01
1.180000000000000071e+01,4.488058014266572970e-02,9.293349943546138636e-01,2.578442550272025749e-02,3.064826076611337213e-01
1.200000000000000000e+01,4.334103862413114794e-02,9.308077338524343158e-01,2.585122752343407132e-02,3.058712203887609671e-01
1.219999999999999929e+01,4.187593659626175080e-02,9.322057808435312287e-01,2.591828256020656598e-02,3.052884403734280050e-01
1.240000000000000036e+01,4.048077333027116226e-02,9.335336348133882467e-01,2.598559185634026492e-02,3.047325334429567545e-01
1.259999999999999964e+01,3.915136543461811280e-02,9.347954779028331274e-01,2.605315666254875984e-02,3.042018876720760101e-01
1.280000000000000071e+01,3.788382207088071552e-02,9.359951996921110906e-01,2.612097823700800653e-02,3.036950038347318026e-01
1.300000000000000000e+01,3.667452221002953650e-02,9.371364199445620935e-01,2.618905784540794673e-02,3.032104866424282230e-01
1.319999999999999929e+01,3.552009376388010758e-02,9.382225094751152072e-01,2.625739676100461925e-02,3.027470367049490685e-01
1.340000000000000036e+01,3.441739443764617323e-02,9.392566092976816217e-01,2.632599626467211490e-02,3.023034431541054556e-01
1.359999999999999964e+01,3.336349416055268968e-02,9.402416481944904092e-01,2.639485764495628009e-02,3.018785768754054244e-01
1.380000000000000071e+01,3.235565896217899168e-02,9.411803588396938647e-01,2.646398219812711936e-02,3.014713842966665336e-01
1.400000000000000000e+01,3.139133617246908647e-02,9.420752925992975646e-01,2.653337122823313729e-02,3.010808816865481741e-01
1.419999999999999929e+01,3.046814083310627960e-02,9.429288331197390738e-01,2.660302604715475763e-02,3.007061499197451471e-01
1.440000000000000036e+01,2.958384321711126155e-02,9.437432088082290393e-01,2.667294797465934522e-02,3.003463296691014084e-01
1.459999999999999964e+01,2.873635736211065106e-02,9.445205042994335720e-01,2.674313833845578733e-02,3.000006169882283857e-01
1.480000000000000071e+01,2.792373053069744857e-02,9.452626709950524564e-01,2.681359847425014709e-02,2.996682592512653898e-01
1.500000000000000000e+01,2.714413351870707120e-02,9.459715367554919485e-01,2.688432972580116417e-02,2.993485514192890107e-01
